epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.025,1.00897,1.73733,1.48415,0.29073,0.6636,0.35504,0.26513,nan,nan,nan,0.000555186,0.000555186,0.000555186
2,555.217,0.98052,1.53673,1.43675,0.44499,0.79634,0.48785,0.40054,0.7449,1.16675,1.2975,0.00108886,0.00108886,0.00108886
3,826.583,0.91446,1.41432,1.37268,0.61162,0.72021,0.73228,0.59045,0.68817,1.05871,1.26581,0.00160053,0.00160053,0.00160053
4,1097.62,0.8567,1.33478,1.32837,0.66678,0.80959,0.78336,0.67265,0.5804,0.84953,1.14055,0.00156798,0.00156798,0.00156798
